Comments
"Dengan izin Allah dan restu mama papa, aku siap masuk STAN tahun ini!!️"
"Bismillah tahun ini, kita ketemu di STAN ya gaess. Semangatt"
"Bismillahirahmaanirahiim, Tahun ini Masuk PKN STAN, AAMIIN. semangat semua yang sedang berjuang :)"
dengan restu bapak ibu ridhoi lah hambamu ini untuk menjadi mahasiswa PKN STAN tahun ini Yaa Allah kesempatan terakhir 
Bismillah tahun ini lolos jadi maba PKN STAN  
"Dengan usaha dan doa kepada-Nya , semoga diberi kelancaran dalam belajar dan ujian. Amin . Semangat"
Semoga Putra saya satu2 nya Mohammad Rafli Nugroho  dapat mewujudkan impian nya dan harapan orang tua utk menempuh pendidikan di STAN...Aamiin YRA... semangat ya Nak...
saya doakan semoga semua yang daftar di STAN bisa diterima.aaaamiiin.......
"Bismillah ya Allah, semoga di tahun 2023 ini bisa melaksanakan pendidikan di PKN STAN"
"Bismillah restu ibu bapak, Abiyyu Rizqullah lulus Stan 2023 aamiin"
Bismillah.. Memberanikan diri bisa masuk STAN.. Semoga Allah memberi kemudahan.. Bisa mewujudkan impian orang tua mengangkat derajat keluarga aamiin
"Semoga lulus STAN astungkara, Semangat rekan rekan sekalian!!!"
"BISMILLAH LOLOS STAN TAHUN INI
SEMOGA DIBERI KEMUDAHAN, KESUKSESAN, KELANCARAN, DAN KEBAROKAHAN SELAMA TES DAN SAMPAI DITERIMA DI STAN AAMIINNNNN"
"BISMILLAH dengan ridho orang tua dan izin Allah Swt, Semoga dimudahkan dalam tahapan per tahapan seleksi untuk MASUK STAN 2023 lulus diberi kelancaran sampai akhir. aamiin ya rab"
bismillah ya Allah lolos pkn stan 2023
"Bismillahirrahmanirrahim semoga masih terbuka mahasiswa baru tahun 2024, atas doa mama papa semoga tercapai impian keluarga ku amin ya rabbal 'alamin "
Bismillah ya Allah izinkan  aku lolos dan   menempuh pendidikan nya di STAN aamiin
"Puji Tuhan,Siap Masuk Jadi maba STAN 2023"
"dengan izin Allah dan doa dari ayah,ibuku dan adek2ku serta teman2 maupun keluarga besar ku,insyaallah dipermudah dalam mengikuti test SMPN PKN STAN"
"Bismillahirrahmanirrahim, saya siap menjadi mahasiswa PKN STAN tahun 2023 aamiin..."
Bismillah semoga anak hamba dengan ijin Allah Swt tahun ini masuk ke STAN aamiin yaa robbal alamiin
"🫡semangattt untuk kita semua, semoga kita mendapatkan hasil yg terbaik dengan seizin Tuhan juga serius dalam menghadapi nya dalam berusaha"
Bismillahirrahmanirrahim tahun ini bisa masuk STAN
Bismillahirrahmanirrahim allohumma solli 'ala sayyidina muhammad di terima dan belajar dan lulus stan 2023. Aamiin
"semoga siswa siswi pada lolos karena tahun lalu nilai terendah SKD stan 450, dan utnuk yang baru harus extra berjuang karena saingan adalah yang gagal tahun lalu juga"
Bismillah tahun ini bisa mewujudkan salah satu keinginan ortu aamiin
Bismillah semoga Alloh mudahkan anak saya masuk STAN aamiin
"Dalam nama Tuhan Yesus, dn izin ayah bunda, aku lulus di pkn stan tahun ini. Bantu aku ya bapa"
semoga tahun depan bisaaa masuk STAN
Bismillah masuk STAN
Ya Allah semoga ini tahun ku dan dengan ridho ortu ku yg tersisa mama ku tercinta aamiin dan demi kebahagiaan alm. Abah yang di sana aamiin
"Assalamualikum kak, izin bertanya
Bagaimana kalau peserta tidak melakukan kunci data? Apakah ada kesempatan kedua lagi untuk mengunci data? 
Terimakasih"
"Lasaufa Yardha Fajar
18 Juli 2023 Lolos SKD STAN
22 Agustus 2023 Lolos Seleksi lanjutan
24 Agustus 2023 Lolos Wawancara
4 September 2023 lulus SPMB PKN STAN
6 September 2023 Daftar Ulang STAN
18 September 2023 Pendidikan di STAN

AAMIIN"
bismillahirrahmanirrahim semoga bisa masuk PKN STAN ya Allah aamiin 
"ALLAHUMMA SHALLI ALA SAYYIDINA MUHAMMAD WA ALA ALI SAYYIDINA MUHAMMAD
BISMILLAH JADI MABA PKN STAN TAHUN INI 
AAMIIN"
"Dengan izin Allah SWT, saya bisa masuk  STAN 2023"
Bismillah ya Allah semoga aku jadi Maba PKN STAN 2023 Aamiin
Harusnya PKN STAN ikut SNBP supaya dapat bibit unggul klas satu. Kalo model sekarang hanya dapat sisa dari Universitas.
Bismilah semoga lolos STAN tahun ini
"Bismillahirrahmanirrahim,tahun 2023  diterima dalam spmb PKN STAN 2023"
bismillah ya Allah tahun depan maba pkn stan 
"Bismillah
Tahun ini jadi Maba STAN"
